,nodes_tr,TR,nodes_ec,EC,nodes_cnc,CnC,nodes_bc,BC,nodes_dc,DC,nodes_pr,pr
27,207,41,126,3.53E-05,711,0.054309519,48,0.002817433,207,0.012328767,948,0.00111425
28,276,41,534,3.53E-05,289,0.054069477,67,0.002805484,264,0.011643836,906,0.001101956
29,50,40,535,3.53E-05,290,0.053742863,183,0.002792931,50,0.010958904,290,0.001096277
30,131,36,786,2.38E-05,287,0.05365447,451,0.00278495,854,0.010958904,694,0.001092208
31,132,36,29,2.26E-05,288,0.053566368,708,0.002683791,92,0.010273973,707,0.001089816
32,133,36,1097,2.18E-05,113,0.053507793,709,0.002683791,142,0.010273973,127,0.001086944
33,134,36,1098,2.18E-05,291,0.053303787,53,0.002511268,308,0.010273973,867,0.001086468
34,135,36,48,1.96E-05,353,0.053159019,92,0.002490214,143,0.009589041,52,0.001086345
35,136,36,1425,1.88E-05,469,0.053101331,422,0.002448665,493,0.009589041,344,0.001080733
36,137,36,49,1.77E-05,352,0.052986331,175,0.002438337,617,0.009589041,854,0.001076607
37,138,36,785,1.74E-05,75,0.052957659,113,0.0021287,707,0.009589041,422,0.001069397
38,139,36,1132,1.72E-05,76,0.052957659,494,0.001999636,850,0.009589041,283,0.001066073
39,140,36,1133,1.72E-05,77,0.052957659,127,0.001755753,1107,0.009589041,499,0.001060533
40,772,36,123,1.44E-05,1101,0.052957659,285,0.001754814,43,0.008219178,93,0.00105437
41,773,36,1426,1.38E-05,1102,0.052957659,560,0.001751685,67,0.008219178,475,0.001041393
42,774,36,467,1.31E-05,1103,0.052957659,210,0.001437229,118,0.008219178,932,0.00103103
43,775,36,468,1.31E-05,610,0.052929018,41,0.001405541,283,0.008219178,226,0.001022085
44,776,36,617,1.22E-05,799,0.052929018,312,0.001404603,344,0.008219178,359,0.001020307
45,777,36,1404,1.19E-05,1040,0.052929018,655,0.001404603,384,0.008219178,917,0.00100448
46,778,36,707,1.08E-05,1041,0.052929018,1209,0.001404603,494,0.008219178,460,0.001002223
47,779,36,712,1.01E-05,607,0.052900407,521,0.001238325,657,0.008219178,1130,0.00099781
48,780,36,359,1.00E-05,937,0.052900407,290,0.001073012,932,0.008219178,291,0.000996854
49,781,36,620,9.81E-06,1085,0.052900407,51,0.001062228,1061,0.008219178,789,0.000992351
50,987,36,357,9.81E-06,141,0.052729393,324,0.00106065,68,0.007534247,84,0.000992189
51,988,36,358,9.81E-06,285,0.052418722,479,0.001056738,93,0.007534247,1061,0.000990284
52,989,36,615,9.58E-06,284,0.052334627,1076,0.001056269,249,0.007534247,626,0.000988348
53,990,36,618,9.58E-06,92,0.052306656,44,0.001056269,250,0.007534247,514,0.00097744
54,991,36,1194,9.31E-06,298,0.052250803,442,0.001056269,252,0.007534247,521,0.000975281
55,992,36,179,9.08E-06,91,0.052139453,639,0.001056269,598,0.007534247,712,0.00097418
56,993,36,485,9.08E-06,299,0.05211169,93,0.000992756,694,0.007534247,451,0.000962933
57,994,36,486,9.08E-06,266,0.051863144,311,0.000942975,867,0.007534247,78,0.000951994
58,995,36,487,9.08E-06,265,0.051835674,359,0.000939218,1026,0.007534247,282,0.000943579
59,996,36,713,8.41E-06,262,0.051808234,712,0.000846864,29,0.006849315,1107,0.00094263
60,124,33,714,8.41E-06,263,0.051808234,249,0.000810275,69,0.006849315,53,0.000933756
61,249,33,940,8.34E-06,267,0.051808234,250,0.000810275,124,0.006849315,850,0.000931383
62,250,33,1048,8.13E-06,268,0.051808234,252,0.000810275,183,0.006849315,228,0.000928387
63,252,33,809,6.75E-06,726,0.051780822,209,0.000798461,324,0.006849315,679,0.000923259
64,204,31,711,6.62E-06,547,0.051726085,91,0.000722255,712,0.006849315,324,0.000923004
65,657,31,443,6.59E-06,1088,0.05169876,397,0.000714433,754,0.006849315,479,0.000918846
66,1026,31,464,6.46E-06,548,0.051671464,353,0.000708717,988,0.006849315,303,0.000914247
67,754,30,854,6.43E-06,549,0.051671464,222,0.000706057,48,0.006164384,0,0.000907953
68,1061,29,850,6.13E-06,1233,0.051671464,443,0.000706057,52,0.006164384,29,0.000906036
69,125,28,1209,5.92E-06,1234,0.051671464,469,0.000688531,59,0.006164384,8,0.00090388
70,126,28,1107,5.92E-06,1334,0.051671464,213,0.000581889,91,0.006164384,118,0.000903858
71,246,28,1350,5.64E-06,1004,0.051644197,1245,0.000565847,113,0.006164384,696,0.000900556
72,534,28,1351,5.64E-06,479,0.051508291,917,0.000531577,131,0.006164384,73,0.000900553
73,535,28,1352,5.64E-06,1125,0.051427091,276,0.000506774,132,0.006164384,69,0.000900407
74,753,28,953,4.41E-06,715,0.051185017,500,0.000495742,133,0.006164384,384,0.000897828
75,755,28,954,4.41E-06,716,0.051185017,328,0.000452083,134,0.006164384,41,0.000888333
76,852,28,725,4.41E-06,51,0.050998308,284,0.000412774,135,0.006164384,249,0.00088421
77,853,28,852,4.31E-06,830,0.050998308,694,0.000401617,136,0.006164384,250,0.00088421
78,1024,28,853,4.31E-06,567,0.050733931,291,0.00038323,137,0.006164384,252,0.00088421
79,1025,28,52,4.20E-06,911,0.050550492,604,0.000361479,138,0.006164384,910,0.00088368
80,1027,28,53,4.17E-06,50,0.050316583,1026,0.00036054,139,0.006164384,560,0.000882022
81,1028,28,932,3.88E-06,1010,0.050213316,715,0.000355052,140,0.006164384,353,0.000876383
82,1029,28,831,3.84E-06,617,0.049906045,716,0.000355052,206,0.006164384,1187,0.000875469
83,1030,28,1112,3.80E-06,786,0.049804455,107,0.000353967,246,0.006164384,13,0.000873302
84,1031,28,1113,3.80E-06,124,0.049502151,154,0.000353967,277,0.006164384,1039,0.000873302
85,1032,28,1114,3.80E-06,125,0.049452124,265,0.000353967,289,0.006164384,1076,0.000871605
86,1067,28,308,3.77E-06,126,0.049452124,325,0.000353967,397,0.006164384,178,0.000869478
87,1068,28,1108,3.65E-06,534,0.049452124,408,0.000353967,461,0.006164384,258,0.00086706
88,1069,28,1109,3.65E-06,535,0.049452124,955,0.000353967,655,0.006164384,285,0.000866958
89,1070,28,1110,3.65E-06,668,0.049402198,54,0.000353967,753,0.006164384,469,0.000866625
90,1071,28,1111,3.65E-06,308,0.049253021,499,0.000328147,755,0.006164384,657,0.000863375
91,1072,28,384,3.60E-06,604,0.049178771,615,0.000312205,772,0.006164384,988,0.000863252
92,1073,28,726,3.54E-06,620,0.04915407,618,0.000312205,773,0.006164384,22,0.000862961
93,1074,28,988,3.45E-06,118,0.049129394,259,0.000293564,774,0.006164384,24,0.000862961
94,1075,28,987,3.41E-06,442,0.049129394,261,0.000293564,775,0.006164384,196,0.000862928
95,308,27,989,3.41E-06,615,0.049129394,298,0.000282298,776,0.006164384,1193,0.000862928
96,998,27,990,3.41E-06,618,0.049129394,726,0.000277949,777,0.006164384,397,0.000860853
97,59,24,991,3.41E-06,1097,0.049129394,867,0.000254913,778,0.006164384,279,0.000860826
98,277,24,992,3.41E-06,1098,0.049129394,60,0.00023626,779,0.006164384,175,0.000860565
99,324,24,993,3.41E-06,1048,0.049104743,357,0.000233162,780,0.006164384,332,0.000860543
100,264,23,994,3.41E-06,1425,0.049104743,358,0.000233162,781,0.006164384,284,0.000859539
101,932,23,995,3.41E-06,154,0.049080117,1246,0.000211254,852,0.006164384,1245,0.000859359
102,74,22,996,3.41E-06,785,0.049080117,1247,0.000211254,853,0.006164384,109,0.000859082
103,92,22,131,3.32E-06,1426,0.049080117,932,0.000194353,987,0.006164384,814,0.000859082
104,384,22,132,3.32E-06,66,0.049055516,725,0.000177327,989,0.006164384,91,0.000858103
105,694,22,133,3.32E-06,605,0.049055516,919,0.000174949,990,0.006164384,678,0.000857974
106,247,21,134,3.32E-06,809,0.049006386,710,0.000174652,991,0.006164384,259,0.000857023
107,248,21,135,3.32E-06,286,0.048981859,698,0.000171976,992,0.006164384,261,0.000857023
108,251,21,136,3.32E-06,1344,0.048908423,344,0.000164308,993,0.006164384,983,0.000856742
109,253,21,137,3.32E-06,93,0.048762209,141,0.000160507,994,0.006164384,1225,0.000856742
110,367,21,138,3.32E-06,312,0.048762209,73,0.000149755,995,0.006164384,754,0.000852564
111,368,21,139,3.32E-06,898,0.04868943,696,0.000149286,996,0.006164384,100,0.000852379
112,369,21,140,3.32E-06,899,0.04868943,668,0.000123615,998,0.006164384,295,0.000852379
113,370,21,772,3.32E-06,313,0.048665218,385,0.00011705,53,0.005479452,609,0.000852379
114,371,21,773,3.32E-06,204,0.048592728,206,0.000115016,125,0.005479452,839,0.000852379
115,372,21,774,3.32E-06,328,0.04734676,1384,0.00010328,126,0.005479452,883,0.000852379
116,373,21,775,3.32E-06,737,0.047278142,804,0.000101402,259,0.005479452,965,0.000852379
117,374,21,776,3.32E-06,1159,0.047164219,124,9.80E-05,261,0.005479452,1059,0.000852379
118,431,21,777,3.32E-06,48,0.047005645,61,9.76E-05,266,0.005479452,161,0.000852379
119,432,21,778,3.32E-06,725,0.046647166,310,7.56E-05,290,0.005479452,167,0.000852379
120,433,21,779,3.32E-06,384,0.046580559,854,6.63E-05,359,0.005479452,206,0.000848053
121,434,21,780,3.32E-06,183,0.046447913,1010,5.26E-05,451,0.005479452,357,0.000847521
122,435,21,781,3.32E-06,491,0.046381874,501,5.16E-05,499,0.005479452,569,0.00084686
123,436,21,715,3.15E-06,492,0.046359902,461,4.79E-05,534,0.005479452,48,0.000841797
124,437,21,716,3.15E-06,832,0.046337951,1107,4.57E-05,535,0.005479452,891,0.000841726
125,438,21,616,3.03E-06,49,0.046316021,231,4.46E-05,626,0.005479452,158,0.000841136
126,617,21,619,3.03E-06,180,0.046316021,598,4.32E-05,696,0.005479452,214,0.000841136
127,997,21,60,3.03E-06,41,0.046272224,850,4.19E-05,948,0.005479452,300,0.000841136
128,999,21,830,3.00E-06,42,0.046184877,1061,4.19E-05,1024,0.005479452,411,0.000841136
129,1000,21,832,2.90E-06,408,0.046163091,233,3.94E-05,1025,0.005479452,424,0.000841136
130,1108,21,360,2.85E-06,1249,0.046141326,395,3.85E-05,1027,0.005479452,766,0.000841136
131,1109,21,1167,2.85E-06,1250,0.046141326,460,3.76E-05,1028,0.005479452,865,0.000841136
132,1110,21,851,2.60E-06,181,0.046119582,906,3.47E-05,1029,0.005479452,941,0.000841136
133,1111,21,855,2.60E-06,182,0.046119582,282,3.19E-05,1030,0.005479452,1458,0.000841136
134,1112,21,28,2.41E-06,1251,0.046076155,620,2.63E-05,1031,0.005479452,1373,0.000834863
135,1113,21,30,2.41E-06,940,0.046054472,1048,2.37E-05,1032,0.005479452,1374,0.000834863
136,1114,21,74,2.36E-06,1009,0.046054472,831,2.07E-05,1067,0.005479452,604,0.00083318
137,1276,21,54,2.11E-06,637,0.046011168,59,1.69E-05,1068,0.005479452,266,0.000833042
138,1277,21,55,2.09E-06,1008,0.046011168,277,1.60E-05,1069,0.005479452,655,0.000826486
139,1278,21,754,1.97E-06,1011,0.046011168,948,1.60E-05,1070,0.005479452,804,0.000826209
140,1279,21,753,1.88E-06,727,0.045881741,626,1.55E-05,1071,0.005479452,318,0.000826113
141,1435,21,755,1.88E-06,669,0.04583876,1187,1.50E-05,1072,0.005479452,1209,0.000823621
142,1436,21,207,1.87E-06,292,0.0458173,287,1.49E-05,1073,0.005479452,120,0.000821751
143,1437,21,998,1.86E-06,359,0.04577444,9,1.31E-05,1074,0.005479452,1311,0.000812229
144,1438,21,727,1.75E-06,357,0.04573166,78,1.31E-05,1075,0.005479452,1313,0.000812229
145,1439,21,997,1.63E-06,358,0.04573166,84,1.31E-05,1187,0.005479452,1314,0.000812229
146,1440,21,999,1.63E-06,149,0.045710301,789,1.31E-05,1209,0.005479452,112,0.000809858
147,118,20,1000,1.63E-06,150,0.045710301,910,1.31E-05,13,0.004794521,419,0.000809858
148,707,20,192,1.53E-06,422,0.045710301,786,1.24E-05,61,0.004794521,455,0.000809858
149,397,19,1160,1.52E-06,690,0.045710301,514,1.22E-05,127,0.004794521,457,0.000809858
150,712,19,1161,1.52E-06,691,0.045710301,754,1.19E-05,238,0.004794521,955,0.000809858
151,867,19,344,1.43E-06,1194,0.045688961,239,1.17E-05,247,0.004794521,615,0.00080752
152,93,18,1061,1.41E-06,443,0.04562506,240,1.17E-05,248,0.004794521,618,0.00080752
153,142,18,59,1.38E-06,179,0.045603799,13,1.13E-05,251,0.004794521,230,0.000806133
154,143,18,710,1.35E-06,485,0.045603799,475,1.13E-05,253,0.004794521,1384,0.000803176
155,259,18,708,1.33E-06,486,0.045603799,536,1.13E-05,265,0.004794521,639,0.000801007
156,261,18,709,1.33E-06,487,0.045603799,1039,1.13E-05,285,0.004794521,559,0.00079903
157,91,17,397,1.31E-06,1132,0.045603799,318,1.03E-05,291,0.004794521,408,0.000795359
158,266,17,807,1.31E-06,1133,0.045603799,212,9.55E-06,367,0.004794521,358,0.000793676
159,344,17,808,1.31E-06,144,0.045582559,279,9.39E-06,368,0.004794521,265,0.000793055
160,385,17,1042,1.30E-06,467,0.045582559,998,8.58E-06,369,0.004794521,339,0.000791831
161,493,17,657,1.30E-06,468,0.045582559,180,8.45E-06,370,0.004794521,340,0.000791831
162,695,17,324,1.25E-06,692,0.045561338,226,8.45E-06,371,0.004794521,311,0.000790238
163,868,17,1435,1.25E-06,1404,0.045561338,988,8.45E-06,372,0.004794521,562,0.000790025
164,67,16,1436,1.25E-06,464,0.045540137,753,7.32E-06,373,0.004794521,107,0.000788831
165,206,16,1437,1.25E-06,1005,0.045518955,755,7.32E-06,374,0.004794521,54,0.000788019
166,655,16,1438,1.25E-06,1006,0.045518955,679,6.57E-06,385,0.004794521,501,0.000787828
167,262,15,1439,1.25E-06,222,0.045476651,266,6.10E-06,395,0.004794521,61,0.000787199
168,263,15,1440,1.25E-06,397,0.045392279,491,5.95E-06,431,0.004794521,246,0.000783961
169,265,15,204,1.16E-06,95,0.045371235,695,5.87E-06,432,0.004794521,625,0.000782437
170,267,15,1276,1.12E-06,90,0.04535021,8,5.63E-06,433,0.004794521,753,0.000777625
171,268,15,1277,1.12E-06,94,0.04535021,178,5.63E-06,434,0.004794521,755,0.000777625
172,283,15,1278,1.12E-06,96,0.04535021,258,5.63E-06,435,0.004794521,509,0.00077491
173,383,15,1279,1.12E-06,667,0.04535021,632,5.63E-06,436,0.004794521,507,0.00077491
174,386,15,1237,1.07E-06,28,0.045287253,868,5.48E-06,437,0.004794521,508,0.00077491
175,387,15,1238,1.07E-06,30,0.045287253,1311,5.32E-06,438,0.004794521,270,0.000773695
176,494,15,249,1.06E-06,249,0.045099426,1313,5.32E-06,460,0.004794521,271,0.000773695
177,1286,15,250,1.06E-06,250,0.045099426,1314,5.32E-06,500,0.004794521,1026,0.000773383
178,1287,15,252,1.06E-06,252,0.045099426,303,4.69E-06,514,0.004794521,515,0.000770683
179,1288,15,756,1.03E-06,560,0.044954411,332,4.69E-06,615,0.004794521,312,0.000770395
180,1289,15,310,1.02E-06,846,0.044954411,1373,4.69E-06,618,0.004794521,536,0.000768771
181,1290,15,113,9.96E-07,1231,0.044954411,1374,4.69E-06,695,0.004794521,525,0.000766656
182,598,14,246,9.14E-07,968,0.044545177,238,4.23E-06,715,0.004794521,184,0.000764465
183,696,13,521,9.03E-07,969,0.044545177,109,3.76E-06,716,0.004794521,185,0.000764465
184,715,13,289,8.72E-07,1424,0.044524911,196,3.76E-06,726,0.004794521,325,0.000763893
185,716,13,209,8.61E-07,525,0.044423855,228,3.76E-06,789,0.004794521,391,0.00076378
186,726,13,1286,8.49E-07,523,0.044403699,633,3.76E-06,804,0.004794521,393,0.00076378
187,786,13,1287,8.49E-07,524,0.044403699,814,3.76E-06,868,0.004794521,390,0.00076378
188,29,12,1288,8.49E-07,959,0.044383562,1193,3.76E-06,917,0.004794521,431,0.000762835
189,69,12,1289,8.49E-07,114,0.044363442,22,3.29E-06,997,0.004794521,437,0.000762835
190,238,12,1290,8.49E-07,470,0.044263118,24,3.29E-06,999,0.004794521,438,0.000762835
191,289,12,173,8.26E-07,472,0.044263118,112,2.82E-06,1000,0.004794521,59,0.000762655
192,507,12,870,8.08E-07,810,0.044143326,419,2.82E-06,1039,0.004794521,192,0.000761989
193,508,12,1345,8.08E-07,811,0.044143326,455,2.82E-06,1108,0.004794521,577,0.000761804
194,509,12,947,8.03E-07,471,0.044083673,457,2.82E-06,1109,0.004794521,277,0.000759208
195,615,12,1206,8.02E-07,52,0.043690068,983,2.82E-06,1110,0.004794521,633,0.000759014
196,618,12,1207,8.02E-07,955,0.043690068,1130,2.82E-06,1111,0.004794521,1247,0.000757361
197,1187,12,1208,8.02E-07,53,0.043670573,1225,2.82E-06,1112,0.004794521,1246,0.000757361
198,1209,12,1210,8.02E-07,1298,0.043670573,205,2.50E-06,1113,0.004794521,305,0.00075711
199,119,11,247,7.90E-07,1299,0.043670573,891,2.50E-06,1114,0.004794521,154,0.000756548
200,183,11,248,7.90E-07,478,0.04361219,0,1.88E-06,1245,0.004794521,145,0.000752909
201,208,11,251,7.90E-07,660,0.043573354,100,1.88E-06,1276,0.004794521,146,0.000752909
202,359,11,253,7.90E-07,661,0.043573354,119,1.88E-06,1277,0.004794521,216,0.000752909
203,804,11,1026,7.83E-07,662,0.043573354,161,1.88E-06,1278,0.004794521,217,0.000752909
204,948,11,259,7.77E-07,1092,0.043553962,167,1.88E-06,1279,0.004794521,242,0.000752909
205,1384,11,261,7.77E-07,1363,0.043553962,189,1.88E-06,1384,0.004794521,243,0.000752909
206,33,10,385,7.62E-07,1364,0.043553962,191,1.88E-06,1435,0.004794521,320,0.000752909
207,34,10,206,7.50E-07,430,0.043207838,246,1.88E-06,1436,0.004794521,323,0.000752909
208,35,10,276,7.45E-07,481,0.043017914,295,1.88E-06,1437,0.004794521,124,0.000752534
209,36,10,383,7.40E-07,480,0.042999013,305,1.88E-06,1438,0.004794521,540,0.000748245
210,37,10,386,7.40E-07,482,0.042999013,569,1.88E-06,1439,0.004794521,547,0.000745874
211,38,10,387,7.40E-07,831,0.042402839,609,1.88E-06,1440,0.004794521,1009,0.000745254
212,68,10,1024,7.31E-07,1209,0.042347795,678,1.88E-06,9,0.004109589,443,0.000739839
213,318,10,1025,7.31E-07,311,0.042329478,839,1.88E-06,41,0.004109589,302,0.000738623
214,330,10,1027,7.31E-07,1350,0.042274624,852,1.88E-06,44,0.004109589,442,0.000737247
215,331,10,1028,7.31E-07,1351,0.042274624,853,1.88E-06,73,0.004109589,864,0.000735787
216,332,10,1029,7.31E-07,1352,0.042274624,883,1.88E-06,119,0.004109589,1,0.000732568
217,333,10,1030,7.31E-07,953,0.04216534,965,1.88E-06,175,0.004109589,163,0.000732214
218,334,10,1031,7.31E-07,954,0.04216534,1059,1.88E-06,192,0.004109589,164,0.000732214
219,335,10,1032,7.31E-07,207,0.042147181,452,1.72E-06,208,0.004109589,1157,0.000732214
220,357,10,398,7.25E-07,310,0.04198445,120,1.41E-06,209,0.004109589,1158,0.000732214
221,358,10,208,7.18E-07,616,0.041894586,547,1.41E-06,213,0.004109589,715,0.000731709
222,620,10,1159,7.17E-07,619,0.041894586,625,1.41E-06,226,0.004109589,949,0.000731295
223,626,10,444,7.03E-07,807,0.04187666,1009,1.41E-06,231,0.004109589,44,0.000724638
224,653,10,445,7.03E-07,808,0.04187666,208,1.25E-06,262,0.004109589,481,0.000724217
225,654,10,61,6.41E-07,309,0.041787256,144,1.00E-06,263,0.004109589,596,0.000722852
226,656,10,311,6.29E-07,210,0.041698233,158,9.39E-07,267,0.004109589,732,0.000722852
227,658,10,1067,6.16E-07,206,0.041680474,214,9.39E-07,268,0.004109589,698,0.000722617
228,721,10,1068,6.16E-07,209,0.041627288,300,9.39E-07,298,0.004109589,726,0.000722082
229,722,10,1069,6.16E-07,208,0.041574237,302,9.39E-07,303,0.004109589,222,0.000721417
230,723,10,1070,6.16E-07,212,0.041556583,339,9.39E-07,310,0.004109589,654,0.000718607
231,724,10,1071,6.16E-07,398,0.041556583,340,9.39E-07,312,0.004109589,385,0.000718429
232,747,10,1072,6.16E-07,1286,0.041486118,411,9.39E-07,318,0.004109589,852,0.000718174
233,748,10,1073,6.16E-07,1287,0.041486118,424,9.39E-07,328,0.004109589,853,0.000718174
234,749,10,1074,6.16E-07,1288,0.041486118,515,9.39E-07,332,0.004109589,952,0.000717118
235,750,10,1075,6.16E-07,1289,0.041486118,525,9.39E-07,353,0.004109589,289,0.000717033
236,751,10,210,6.09E-07,1290,0.041486118,559,9.39E-07,357,0.004109589,239,0.000712617
237,752,10,264,6.06E-07,1096,0.041415892,577,9.39E-07,358,0.004109589,240,0.000712617
238,830,10,62,5.92E-07,119,0.041398373,766,9.39E-07,383,0.004109589,725,0.00071234
239,851,10,212,5.91E-07,120,0.041380868,865,9.39E-07,386,0.004109589,1053,0.000711925
240,855,10,142,5.79E-07,721,0.041380868,941,9.39E-07,387,0.004109589,561,0.000707981
241,879,10,879,5.69E-07,722,0.041380868,1458,9.39E-07,422,0.004109589,328,0.000707926
242,880,10,880,5.69E-07,723,0.041380868,507,9.39E-07,475,0.004109589,119,0.000707898
243,900,10,493,5.61E-07,724,0.041380868,508,9.39E-07,507,0.004109589,888,0.000705852
244,901,10,567,5.42E-07,950,0.041363378,509,9.39E-07,508,0.004109589,886,0.000705852
245,902,10,1384,5.36E-07,951,0.041363378,390,6.26E-07,509,0.004109589,887,0.000705852
246,903,10,309,5.36E-07,952,0.041363378,391,6.26E-07,521,0.004109589,998,0.000704047
247,904,10,290,5.27E-07,439,0.041345903,393,6.26E-07,560,0.004109589,1177,0.000703431
248,905,10,694,5.23E-07,440,0.041345903,561,6.26E-07,604,0.004109589,1176,0.000703431
249,949,10,277,5.18E-07,441,0.041345903,562,6.26E-07,620,0.004109589,310,0.000702868
250,1097,10,287,5.07E-07,606,0.041345903,1053,6.26E-07,698,0.004109589,491,0.000701055
251,1098,10,67,5.01E-07,153,0.041276151,230,4.69E-07,725,0.004109589,189,0.000696971
252,1180,10,239,4.91E-07,127,0.041120064,270,4.69E-07,786,0.004109589,191,0.000696971
253,1200,10,240,4.91E-07,1119,0.041102794,271,4.69E-07,891,0.004109589,868,0.000690358
254,1201,10,846,4.89E-07,1120,0.041102794,481,4.69E-07,906,0.004109589,485,0.000688361
255,1202,10,867,4.88E-07,1121,0.041102794,596,4.69E-07,1076,0.004109589,486,0.000688361
256,1203,10,1393,4.84E-07,1122,0.041102794,732,4.69E-07,1286,0.004109589,632,0.000686597
257,1256,10,353,4.74E-07,44,0.041068298,918,4.69E-07,1287,0.004109589,131,0.000684463
258,1257,10,1096,4.73E-07,205,0.041051071,1425,3.13E-07,1288,0.004109589,132,0.000684463
259,1346,10,143,4.72E-07,211,0.041033859,95,2.35E-07,1289,0.004109589,772,0.000684463
260,1347,10,291,4.64E-07,238,0.041033859,1,0,1290,0.004109589,773,0.000684463
261,1348,10,288,4.62E-07,237,0.040982309,2,0,22,0.003424658,133,0.000684463
262,1349,10,1184,4.57E-07,327,0.040982309,3,0,24,0.003424658,134,0.000684463
263,1385,10,1185,4.57E-07,329,0.040982309,4,0,33,0.003424658,135,0.000684463
264,1386,10,1433,4.57E-07,970,0.040965154,5,0,34,0.003424658,774,0.000684463
265,1387,10,1434,4.57E-07,1335,0.040930888,6,0,35,0.003424658,775,0.000684463
266,1388,10,69,4.52E-07,54,0.039847619,7,0,36,0.003424658,776,0.000684463
267,1389,10,695,4.43E-07,55,0.039831401,10,0,37,0.003424658,136,0.000684463
268,1408,10,238,4.40E-07,259,0.03963781,11,0,38,0.003424658,137,0.000684463
269,1409,10,868,4.38E-07,261,0.03963781,12,0,95,0.003424658,367,0.000684463
270,1410,10,283,4.36E-07,385,0.039621763,14,0,109,0.003424658,368,0.000684463
271,1443,10,933,4.25E-07,383,0.039605728,15,0,120,0.003424658,777,0.000684463
272,1444,10,86,4.06E-07,386,0.039605728,16,0,154,0.003424658,778,0.000684463
273,1445,10,494,3.85E-07,387,0.039605728,17,0,178,0.003424658,1067,0.000684463
274,1446,10,1294,3.83E-07,891,0.039477916,18,0,205,0.003424658,1068,0.000684463
275,13,9,328,3.73E-07,1053,0.039461997,19,0,210,0.003424658,138,0.000684463
276,48,9,205,3.69E-07,1054,0.039446092,20,0,212,0.003424658,139,0.000684463
277,61,9,911,3.65E-07,1055,0.039446092,21,0,228,0.003424658,369,0.000684463
278,95,9,696,3.58E-07,1056,0.039430199,23,0,258,0.003424658,370,0.000684463
279,209,9,43,3.55E-07,890,0.039414319,25,0,282,0.003424658,371,0.000684463
280,213,9,451,3.49E-07,1268,0.039414319,26,0,284,0.003424658,779,0.000684463
281,290,9,655,3.43E-07,1269,0.039414319,27,0,287,0.003424658,780,0.000684463
282,298,9,213,3.42E-07,577,0.039319306,28,0,305,0.003424658,1069,0.000684463
283,328,9,92,3.42E-07,579,0.039303515,30,0,311,0.003424658,1070,0.000684463
284,461,9,237,3.36E-07,580,0.039303515,33,0,330,0.003424658,1071,0.000684463
285,500,9,1180,3.36E-07,578,0.039287737,34,0,331,0.003424658,1072,0.000684463
