,nodes_ec,EC
93,988,3.451495432005659e-06
94,987,3.413236071936319e-06
95,989,3.413236071936319e-06
96,990,3.413236071936319e-06
97,991,3.413236071936319e-06
98,992,3.413236071936319e-06
99,993,3.413236071936319e-06
100,994,3.413236071936319e-06
101,995,3.413236071936319e-06
102,996,3.413236071936319e-06
103,131,3.3233614006888516e-06
104,132,3.3233614006888516e-06
105,133,3.3233614006888516e-06
106,134,3.3233614006888516e-06
107,135,3.3233614006888516e-06
108,136,3.3233614006888516e-06
109,137,3.3233614006888516e-06
110,138,3.3233614006888516e-06
111,139,3.3233614006888516e-06
112,140,3.3233614006888516e-06
113,772,3.3233614006888516e-06
114,773,3.3233614006888516e-06
115,774,3.3233614006888516e-06
116,775,3.3233614006888516e-06
117,776,3.3233614006888516e-06
118,777,3.3233614006888516e-06
119,778,3.3233614006888516e-06
120,779,3.3233614006888516e-06
121,780,3.3233614006888516e-06
122,781,3.3233614006888516e-06
123,715,3.151143295204661e-06
124,716,3.151143295204661e-06
125,616,3.0322860474846118e-06
126,619,3.0322860474846118e-06
127,60,3.0287259430527635e-06
128,830,2.9952803592805216e-06
129,832,2.9030310673346036e-06
130,360,2.852321859576475e-06
131,1167,2.852321859576475e-06
132,851,2.6042034471834355e-06
133,855,2.6042034471834355e-06
134,28,2.411024516505898e-06
135,30,2.411024516505898e-06
136,74,2.358840798461717e-06
137,54,2.10540194325592e-06
138,55,2.0875934364159047e-06
139,754,1.967376720500134e-06
140,753,1.8831138477752666e-06
141,755,1.8831138477752666e-06
142,207,1.8727082837498143e-06
143,998,1.8596925726708132e-06
144,727,1.7519251459358924e-06
145,997,1.6254906460528694e-06
146,999,1.6254906460528694e-06
147,1000,1.6254906460528694e-06
148,192,1.5319325187850684e-06
149,1160,1.5180711197521185e-06
150,1161,1.5180711197521185e-06
151,344,1.4297118665854947e-06
152,1061,1.4148119396372117e-06
153,59,1.3791128119340504e-06
154,710,1.3495380201918513e-06
155,708,1.3255827580555075e-06
156,709,1.3255827580555075e-06
157,397,1.3129772751927722e-06
158,807,1.309198085296506e-06
159,808,1.309198085296506e-06
160,1042,1.2993793482393919e-06
161,657,1.2959412525896208e-06
162,324,1.2541430235324291e-06
163,1435,1.2497513449347339e-06
164,1436,1.2497513449347339e-06
165,1437,1.2497513449347339e-06
166,1438,1.2497513449347339e-06
167,1439,1.2497513449347339e-06
168,1440,1.2497513449347339e-06
169,204,1.161303634792238e-06
170,1276,1.122169453451416e-06
171,1277,1.122169453451416e-06
172,1278,1.122169453451416e-06
173,1279,1.122169453451416e-06
174,1237,1.0653328135527003e-06
175,1238,1.0653328135527003e-06
176,249,1.057552463321258e-06
177,250,1.057552463321258e-06
178,252,1.057552463321258e-06
179,756,1.0267397713919501e-06
180,310,1.0207633073622567e-06
181,113,9.963367876734156e-07
182,246,9.14006071148873e-07
183,521,9.026175571901528e-07
184,289,8.71832010171044e-07
185,209,8.605889296839666e-07
186,1286,8.488015784839751e-07
187,1287,8.488015784839751e-07
188,1288,8.488015784839751e-07
189,1289,8.488015784839751e-07
190,1290,8.488015784839751e-07
191,173,8.258112876197765e-07
192,870,8.081033240323361e-07
193,1345,8.081033240323361e-07
194,947,8.033780636569163e-07
195,1206,8.021100613374735e-07
196,1207,8.021100613374735e-07
197,1208,8.021100613374735e-07
198,1210,8.021100613374735e-07
199,247,7.898042850883788e-07
200,248,7.898042850883788e-07
201,251,7.898042850883788e-07
202,253,7.898042850883788e-07
203,1026,7.831290948280065e-07
204,259,7.768034832359998e-07
205,261,7.768034832359998e-07
206,385,7.619350680982366e-07
207,206,7.503587900777337e-07
208,276,7.445804984672162e-07
209,383,7.39788700778144e-07
210,386,7.39788700778144e-07
211,387,7.39788700778144e-07
212,1024,7.31331775512602e-07
213,1025,7.31331775512602e-07
214,1027,7.31331775512602e-07
215,1028,7.31331775512602e-07
216,1029,7.31331775512602e-07
217,1030,7.31331775512602e-07
218,1031,7.31331775512602e-07
219,1032,7.31331775512602e-07
220,398,7.247645871066932e-07
221,208,7.17603454926185e-07
222,1159,7.173843717317909e-07
223,444,7.026453142650772e-07
224,445,7.026453142650772e-07
225,61,6.406158762592625e-07
226,311,6.290023356121918e-07
227,1067,6.158255770327375e-07
228,1068,6.158255770327375e-07
229,1069,6.158255770327375e-07
230,1070,6.158255770327375e-07
231,1071,6.158255770327375e-07
232,1072,6.158255770327375e-07
233,1073,6.158255770327375e-07
234,1074,6.158255770327375e-07
235,1075,6.158255770327375e-07
236,210,6.086995284257311e-07
237,264,6.055992969664949e-07
238,62,5.919058321787108e-07
239,212,5.911333806937857e-07
240,142,5.793573072647076e-07
241,879,5.691751275186607e-07
242,880,5.691751275186607e-07
243,493,5.609480425922177e-07
244,567,5.417171241045061e-07
245,1384,5.363964367092436e-07
246,309,5.357179823999923e-07
247,290,5.265195341907284e-07
248,694,5.225921527443376e-07
249,277,5.180390459293384e-07
250,287,5.070232874633808e-07
251,67,5.009791112952296e-07
252,239,4.906890569836963e-07
253,240,4.906890569836963e-07
254,846,4.88745581609805e-07
255,867,4.883520657320297e-07
256,1393,4.840348762683665e-07
257,353,4.7427365678239067e-07
258,1096,4.730870003929191e-07
259,143,4.7190591044723285e-07
260,291,4.637587722740411e-07
261,288,4.615020679585519e-07
262,1184,4.5703861046133486e-07
263,1185,4.5703861046133486e-07
264,1433,4.5703861046133486e-07
265,1434,4.5703861046133486e-07
266,69,4.516405563957412e-07
267,695,4.4276341907839787e-07
268,238,4.395420667804953e-07
269,868,4.381809949754968e-07
270,283,4.355649758408978e-07
271,933,4.252141101363716e-07
272,86,4.0578097888863997e-07
273,494,3.8548357060406257e-07
274,1294,3.8302245430826875e-07
275,328,3.7263118185169075e-07
276,205,3.693006327453905e-07
277,911,3.653313890139965e-07
278,696,3.5788937068692067e-07
279,43,3.545401790583742e-07
280,451,3.494156640454254e-07
281,655,3.4313205240755753e-07
282,213,3.418473870940735e-07
283,92,3.4151361992266086e-07
284,237,3.362690671507247e-07
285,1180,3.361828289810088e-07
286,1256,3.2713240153064514e-07
287,1257,3.2713240153064514e-07
288,68,3.242647001084914e-07
289,469,3.188983863575587e-07
290,658,3.1450979237978555e-07
291,653,3.145097923797855e-07
292,654,3.145097923797855e-07
293,656,3.145097923797855e-07
294,75,3.1244405127948873e-07
295,76,3.1244405127948873e-07
296,77,3.1244405127948873e-07
297,1101,3.1244405127948873e-07
298,1102,3.1244405127948873e-07
299,1103,3.1244405127948873e-07
300,970,3.0871292645027725e-07
301,44,3.0010180734902907e-07
302,352,2.9563926225005174e-07
303,91,2.937596902351154e-07
304,327,2.795679468355708e-07
305,329,2.795679468355708e-07
306,93,2.790155022391044e-07
307,610,2.7480343095791395e-07
308,799,2.7480343095791395e-07
309,1040,2.7480343095791395e-07
310,1041,2.7480343095791395e-07
311,737,2.6232871517975616e-07
312,1239,2.582704072338497e-07
313,1240,2.582704072338497e-07
314,1241,2.582704072338497e-07
315,1242,2.582704072338497e-07
316,298,2.5757828248128086e-07
317,698,2.5207114489888484e-07
318,607,2.454805902975925e-07
319,937,2.454805902975925e-07
320,1085,2.454805902975925e-07
321,566,2.357136072040785e-07
322,285,2.3546777852335245e-07
323,266,2.3443326601518003e-07
324,284,2.338782553878454e-07
325,1245,2.2818194161612083e-07
326,299,2.2579106723681765e-07
327,265,2.1239302388298404e-07
328,804,2.1105093605576048e-07
329,262,2.0929856910398338e-07
330,263,2.0929856910398338e-07
331,267,2.0929856910398338e-07
332,268,2.0929856910398338e-07
333,1346,2.037849772108092e-07
334,1347,2.037849772108092e-07
335,1348,2.037849772108092e-07
336,1349,2.037849772108092e-07
337,648,2.027678448592281e-07
338,118,1.9635199038451164e-07
339,668,1.9147768066566344e-07
340,346,1.897303742591486e-07
341,347,1.897303742591486e-07
342,141,1.8519471505182892e-07
343,127,1.8207405760232496e-07
344,325,1.7669534143509383e-07
345,326,1.7436189502791405e-07
346,1089,1.6841544828301766e-07
347,1232,1.6841544828301766e-07
348,345,1.675042354119404e-07
349,211,1.661887606881435e-07
350,1246,1.6425792705487343e-07
351,1247,1.6425792705487343e-07
352,260,1.5819785307011238e-07
353,95,1.5624940540617728e-07
354,491,1.5310634768960945e-07
355,1272,1.50181727758075e-07
356,957,1.4893303814898603e-07
357,958,1.4893303814898603e-07
358,1010,1.4776683242041406e-07
359,500,1.473093648971498e-07
360,1335,1.4362348217849463e-07
361,492,1.425559461197824e-07
362,66,1.425373461724941e-07
363,96,1.399348598656764e-07
364,667,1.399348598656764e-07
365,525,1.389324571550306e-07
366,1293,1.3816811748627973e-07
367,1344,1.3770495987916113e-07
368,90,1.3742790047667874e-07
369,94,1.3742790047667874e-07
370,1427,1.3084665809047885e-07
371,1428,1.3084665809047885e-07
372,1429,1.3084665809047885e-07
373,898,1.284426085905645e-07
374,899,1.284426085905645e-07
375,523,1.2821444919741903e-07
376,524,1.2821444919741903e-07
377,547,1.2421309663500512e-07
378,1088,1.195532159052573e-07
379,743,1.1595004201409298e-07
380,744,1.1595004201409298e-07
381,745,1.1595004201409298e-07
382,746,1.1595004201409298e-07
383,560,1.1514844516278709e-07
384,959,1.1497328432988924e-07
385,1009,1.136800713925686e-07
386,669,1.1261778524099028e-07
387,604,1.0830598694457989e-07
388,241,1.0742691954251871e-07
389,1385,1.0536273070054584e-07
390,1386,1.0536273070054584e-07
391,1387,1.0536273070054584e-07
392,1388,1.0536273070054584e-07
393,1389,1.0536273070054584e-07
394,1334,1.0238907824027279e-07
395,154,1.013986995853648e-07
396,114,1.0060693392561377e-07
397,605,1.0017185182717498e-07
398,175,9.359749110268035e-08
399,367,9.354430728599872e-08
400,368,9.354430728599872e-08
401,369,9.354430728599872e-08
402,370,9.354430728599872e-08
403,371,9.354430728599872e-08
404,372,9.354430728599872e-08
405,373,9.354430728599872e-08
406,374,9.354430728599872e-08
407,431,9.354430728599872e-08
408,432,9.354430728599872e-08
409,433,9.354430728599872e-08
410,434,9.354430728599872e-08
411,435,9.354430728599872e-08
412,436,9.354430728599872e-08
413,437,9.354430728599872e-08
414,438,9.354430728599872e-08
415,637,9.20063774582431e-08
416,479,9.15179869626065e-08
417,292,8.995725082595727e-08
418,174,8.889887077504306e-08
419,548,8.811106476732165e-08
420,549,8.811106476732165e-08
421,522,8.755074575100181e-08
422,1143,8.755074575100181e-08
423,1008,8.67665155760602e-08
424,1011,8.67665155760602e-08
425,1125,8.642179705437784e-08
426,470,8.502260029034013e-08
427,472,8.502260029034013e-08
428,1233,8.277610491108474e-08
429,1234,8.277610491108474e-08
430,312,7.965564027975598e-08
431,917,7.66996895212703e-08
432,144,7.455575082771509e-08
433,286,7.323614146694833e-08
434,1086,7.294861745514997e-08
435,1087,7.294861745514997e-08
436,1004,7.256125616980203e-08
437,313,7.146357595256014e-08
438,697,6.792085841498875e-08
439,968,6.605491201208921e-08
440,969,6.605491201208921e-08
441,673,6.586698178798836e-08
442,674,6.586698178798836e-08
443,675,6.586698178798836e-08
444,676,6.586698178798836e-08
445,452,6.571946229562697e-08
446,119,6.539126266643773e-08
447,442,6.517827984505385e-08
448,869,6.34674940665666e-08
449,1181,6.288433433551556e-08
450,1182,6.288433433551556e-08
451,1183,6.288433433551556e-08
452,919,6.169753386455588e-08
453,660,6.147120683219959e-08
454,661,6.147120683219959e-08
455,662,6.147120683219959e-08
456,1005,6.138317855835149e-08
457,1006,6.138317855835149e-08
458,1012,6.018208339222566e-08
459,1013,5.969084879124296e-08
460,721,5.901610337442854e-08
461,722,5.901610337442854e-08
462,723,5.901610337442854e-08
463,724,5.901610337442854e-08
464,1424,5.8500591758142856e-08
465,422,5.7330989961752594e-08
466,810,5.62853548078926e-08
467,811,5.62853548078926e-08
468,180,5.545947125963933e-08
469,692,5.450580264737972e-08
470,183,5.3884828457654304e-08
471,120,5.355559313247079e-08
472,1363,5.2009389188271477e-08
473,1364,5.2009389188271477e-08
474,453,5.0789898707023074e-08
475,1231,5.054956866153961e-08
476,181,4.991630452608533e-08
477,182,4.991630452608533e-08
478,408,4.9689175785138405e-08
479,222,4.956482965975778e-08
480,45,4.935782181516962e-08
481,46,4.935782181516962e-08
482,47,4.935782181516962e-08
483,1249,4.911381878222543e-08
484,1250,4.911381878222543e-08
485,41,4.6075519403369217e-08
486,950,4.575421344069356e-08
487,951,4.575421344069356e-08
488,952,4.575421344069356e-08
489,149,4.566851391704659e-08
490,150,4.566851391704659e-08
491,690,4.566851391704659e-08
492,691,4.566851391704659e-08
493,42,4.322188386089245e-08
494,1251,3.806535150963681e-08
495,499,3.465301390917556e-08
496,471,3.4409589739342416e-08
497,559,3.346761843685815e-08
498,501,3.261998326236611e-08
499,502,3.212671748229011e-08
500,503,3.212671748229011e-08
501,805,3.1557413520867325e-08
502,806,3.1557413520867325e-08
503,955,3.133084312693446e-08
504,1298,3.099987571324151e-08
505,1299,3.099987571324151e-08
506,557,3.051563787410738e-08
507,558,3.051563787410738e-08
508,1248,2.945993525507139e-08
509,430,2.7031618642995453e-08
510,684,2.672413234336288e-08
511,561,2.4527584777497497e-08
512,562,2.4527584777497497e-08
513,478,2.4344951631508727e-08
514,1092,2.4217743557504774e-08
515,128,2.2565278509649176e-08
516,1090,2.2397431073009277e-08
517,1091,2.2397431073009277e-08
518,652,2.151425547583177e-08
519,563,1.9665207712720902e-08
520,918,1.837463325236148e-08
521,1119,1.74316796373149e-08
522,1120,1.74316796373149e-08
523,1121,1.74316796373149e-08
524,1122,1.74316796373149e-08
525,481,1.5657469248972768e-08
526,480,1.402265483737583e-08
527,482,1.402265483737583e-08
528,1076,1.3257011498867257e-08
529,1295,1.2981749204472072e-08
530,1296,1.2981749204472072e-08
531,1297,1.2981749204472072e-08
532,891,1.2471507029194892e-08
533,606,1.245326118853348e-08
534,920,1.1645522674628307e-08
535,1053,1.1620717818892557e-08
536,153,1.161977325604147e-08
537,1054,1.0597074799728846e-08
538,1055,1.0597074799728846e-08
539,439,1.0108091410712473e-08
540,440,1.0108091410712473e-08
541,441,1.0108091410712473e-08
542,1056,9.260399798055996e-09
543,890,7.789214487176947e-09
544,639,7.598975619857787e-09
545,577,7.476001155756738e-09
546,638,7.2220009451150605e-09
547,1268,7.066285134711879e-09
548,1269,7.066285134711879e-09
549,579,6.845445026192626e-09
550,580,6.845445026192626e-09
551,73,6.420615940597255e-09
552,423,6.343338658935934e-09
553,693,6.343338658935934e-09
554,220,6.149436919203293e-09
555,221,6.149436919203293e-09
556,578,6.039278180011122e-09
557,409,5.558748524578396e-09
558,1267,5.379283643638978e-09
559,1460,5.379283643638978e-09
560,504,4.529762456199784e-09
561,1214,4.2588152347032055e-09
562,598,3.4066971957874688e-09
563,956,3.3462947103570832e-09
564,318,2.6750234792222868e-09
565,1443,2.5960853093085054e-09
566,1444,2.5960853093085054e-09
567,1445,2.5960853093085054e-09
568,1446,2.5960853093085054e-09
569,507,2.2003076565071063e-09
570,508,2.2003076565071063e-09
571,509,2.2003076565071063e-09
572,1408,2.0023782929122026e-09
573,1409,2.0023782929122026e-09
574,1410,2.0023782929122026e-09
575,948,1.563413274225793e-09
576,107,1.4852206175130896e-09
577,1077,1.4700674972380294e-09
578,949,1.3898413713811016e-09
579,1200,1.3898413713811016e-09
580,1201,1.3898413713811016e-09
581,1202,1.3898413713811016e-09
582,1203,1.3898413713811016e-09
583,510,1.246270434605101e-09
584,70,1.1649422132891983e-09
585,71,1.1649422132891983e-09
586,72,1.1649422132891983e-09
587,1430,1.161812058421782e-09
588,1431,1.161812058421782e-09
589,1432,1.161812058421782e-09
590,332,1.083557420481236e-09
591,330,1.0478854751019895e-09
592,331,1.0478854751019895e-09
593,333,1.0478854751019895e-09
594,334,1.0478854751019895e-09
595,335,1.0478854751019895e-09
596,596,9.42426040937997e-10
597,732,9.42426040937997e-10
598,33,9.375567773540173e-10
599,34,9.375567773540173e-10
600,35,9.375567773540173e-10
601,36,9.375567773540173e-10
602,37,9.375567773540173e-10
603,38,9.375567773540173e-10
604,747,9.375567773540173e-10
605,748,9.375567773540173e-10
606,749,9.375567773540173e-10
607,750,9.375567773540173e-10
608,751,9.375567773540173e-10
609,752,9.375567773540173e-10
610,900,9.375567773540173e-10
611,901,9.375567773540173e-10
612,902,9.375567773540173e-10
613,903,9.375567773540173e-10
614,904,9.375567773540173e-10
615,905,9.375567773540173e-10
616,597,8.140703463328176e-10
617,733,8.140703463328176e-10
618,1447,8.140703463328176e-10
619,1452,8.140703463328176e-10
620,1187,6.279558017282469e-10
621,319,5.006872869814735e-10
622,461,4.165629697491654e-10
623,1197,3.7902068834526755e-10
624,1198,3.7902068834526755e-10
625,1186,3.6904665120421646e-10
626,1188,3.6904665120421646e-10
627,1189,3.6904665120421646e-10
628,1190,3.6904665120421646e-10
629,1252,3.6904665120421646e-10
630,1253,3.6904665120421646e-10
631,1254,3.6904665120421646e-10
632,1255,3.6904665120421646e-10
633,626,3.4864918098255227e-10
634,1199,3.0506334502339173e-10
635,1148,2.7386035829823e-10
636,1149,2.7386035829823e-10
637,1150,2.7386035829823e-10
638,1151,2.7386035829823e-10
639,625,2.7289356451896173e-10
640,627,2.4785756540125324e-10
641,628,2.4785756540125324e-10
642,629,2.4785756540125324e-10
643,460,2.330105078939918e-10
644,649,2.1524601035682366e-10
645,390,2.0516836470659356e-10
646,391,2.0516836470659356e-10
647,393,2.0516836470659356e-10
648,1039,1.8963150161209479e-10
649,13,1.896315016120947e-10
650,458,1.8477592431264876e-10
651,459,1.8477592431264876e-10
652,389,1.7955858915199493e-10
653,392,1.7955858915199493e-10
654,108,1.5359552780560136e-10
655,1035,1.435453025143766e-10
656,1036,1.435453025143766e-10
657,1037,1.435453025143766e-10
658,1038,1.435453025143766e-10
659,976,1.4354530251437655e-10
660,977,1.4354530251437655e-10
661,978,1.4354530251437655e-10
662,979,1.4354530251437655e-10
663,740,1.3906045372088142e-10
664,741,1.3906045372088142e-10
665,742,1.3906045372088142e-10
666,394,1.3900675964331192e-10
667,640,1.3788828762312953e-10
668,789,1.2207868854660493e-10
669,1176,1.0180698540574715e-10
670,1177,1.0180698540574715e-10
671,1178,1.0180698540574715e-10
672,1179,1.0180698540574715e-10
673,975,9.218405180346389e-11
674,1339,9.218405180346389e-11
675,226,8.233168593392518e-11
676,1394,8.172619169175892e-11
677,1395,8.172619169175892e-11
678,1396,8.172619169175892e-11
679,12,8.172619169175891e-11
680,14,8.172619169175891e-11
681,15,8.172619169175891e-11
682,1373,7.698957932999867e-11
683,1374,7.698957932999867e-11
684,1380,7.447578370337649e-11
685,1381,7.447578370337649e-11
686,1382,7.447578370337649e-11
687,1383,7.447578370337649e-11
688,1415,7.330832879676418e-11
689,1416,7.330832879676418e-11
690,1417,7.330832879676418e-11
691,303,7.181353322222142e-11
692,1139,6.639451504778437e-11
693,1140,6.639451504778437e-11
694,1154,6.639451504778437e-11
695,1155,6.639451504778437e-11
696,305,6.560238472998466e-11
697,109,6.44665461587812e-11
698,228,6.44665461587812e-11
699,814,6.446654615878119e-11
700,812,6.13164594828765e-11
701,813,6.13164594828765e-11
702,815,6.13164594828765e-11
703,816,6.13164594828765e-11
704,864,6.13164594828765e-11
705,871,6.13164594828765e-11
706,872,6.13164594828765e-11
707,873,6.13164594828765e-11
708,874,6.13164594828765e-11
709,1397,6.13164594828765e-11
710,1398,6.13164594828765e-11
711,1399,6.13164594828765e-11
712,302,5.3717299248540175e-11
713,514,5.115647330569147e-11
714,2,5.071047059156572e-11
715,3,5.071047059156572e-11
716,4,5.071047059156572e-11
717,5,5.071047059156572e-11
718,6,5.071047059156572e-11
719,184,5.071047059156572e-11
720,185,5.071047059156572e-11
721,186,5.071047059156572e-11
722,187,5.071047059156572e-11
723,188,5.071047059156572e-11
724,446,5.071047059156572e-11
725,447,5.071047059156572e-11
726,448,5.071047059156572e-11
727,449,5.071047059156572e-11
728,450,5.071047059156572e-11
729,817,5.071047059156572e-11
730,818,5.071047059156572e-11
731,819,5.071047059156572e-11
732,820,5.071047059156572e-11
733,821,5.071047059156572e-11
734,833,5.071047059156572e-11
735,834,5.071047059156572e-11
736,835,5.071047059156572e-11
737,836,5.071047059156572e-11
738,837,5.071047059156572e-11
739,927,5.071047059156572e-11
740,928,5.071047059156572e-11
741,929,5.071047059156572e-11
742,930,5.071047059156572e-11
743,931,5.071047059156572e-11
744,1062,5.071047059156572e-11
745,1063,5.071047059156572e-11
746,1064,5.071047059156572e-11
747,1065,5.071047059156572e-11
748,1066,5.071047059156572e-11
749,1281,5.071047059156572e-11
750,1282,5.071047059156572e-11
751,1283,5.071047059156572e-11
752,1284,5.071047059156572e-11
753,1285,5.071047059156572e-11
754,304,4.7506150756303415e-11
755,306,4.545174149374659e-11
756,307,4.545174149374659e-11
757,787,3.816055657217714e-11
758,788,3.816055657217714e-11
759,515,3.4308194752307397e-11
760,22,3.289126642272026e-11
761,24,3.289126642272025e-11
762,1173,3.1200683129230795e-11
763,650,2.9774367353536566e-11
764,651,2.9774367353536566e-11
765,1411,2.907259456888088e-11
766,189,2.8852429489573863e-11
767,191,2.8852429489573856e-11
768,516,2.735190213655451e-11
769,517,2.735190213655451e-11
770,518,2.735190213655451e-11
771,513,2.2081622916193808e-11
772,225,2.0054083401448684e-11
773,227,2.0054083401448684e-11
774,395,2.0031670262996814e-11
775,1372,1.8775967914459845e-11
776,1375,1.8775967914459845e-11
777,23,1.728609083536176e-11
778,351,1.728609083536176e-11
779,233,1.651409557053739e-11
780,110,1.5912266467581583e-11
781,229,1.5912266467581583e-11
782,1172,1.5912266467581583e-11
783,190,1.5163472039675573e-11
784,1043,1.419642573811481e-11
785,1044,1.419642573811481e-11
786,906,1.3646937470541067e-11
787,282,1.2749792172092273e-11
788,231,1.050449765081468e-11
789,9,9.84966682484064e-12
790,279,9.513300382254281e-12
791,934,9.082395036625936e-12
792,935,9.082395036625936e-12
793,936,9.082395036625936e-12
794,280,8.90880660779506e-12
795,281,8.90880660779506e-12
796,8,7.867002250647908e-12
797,1137,7.766550691861748e-12
798,1138,7.766550691861748e-12
799,10,7.344485235980778e-12
800,11,7.344485235980778e-12
801,396,5.598326148451166e-12
802,859,5.598326148451166e-12
803,230,5.573972788742219e-12
804,339,5.569538029818919e-12
805,340,5.569538029818919e-12
806,178,5.121861518681832e-12
807,258,5.121861518681832e-12
808,342,4.794290930639616e-12
809,343,4.794290930639616e-12
810,415,4.5633103551699754e-12
811,490,4.5633103551699754e-12
812,1306,4.08331424912699e-12
813,1307,4.08331424912699e-12
814,540,4.0591059285532974e-12
815,574,4.0591059285532974e-12
816,575,4.0591059285532974e-12
817,576,4.0591059285532974e-12
818,613,4.0591059285532974e-12
819,614,4.0591059285532974e-12
820,907,3.8967561255939236e-12
821,923,3.8967561255939236e-12
822,1378,3.643270705508583e-12
823,341,3.351706609629852e-12
824,536,3.2747493103311372e-12
825,232,2.975485499214013e-12
826,1134,2.975485499214013e-12
827,1407,2.886599822349189e-12
828,537,2.8515885729039958e-12
829,538,2.8515885729039958e-12
830,539,2.8515885729039958e-12
831,278,2.7191788430726704e-12
832,7,2.305504050202473e-12
833,475,2.283796564400177e-12
834,176,2.2645668638639474e-12
835,177,2.2645668638639474e-12
836,256,2.2645668638639474e-12
837,257,2.2645668638639474e-12
838,983,2.2481377446926154e-12
839,1225,2.248137744692615e-12
840,984,2.0698602416922963e-12
841,985,2.0698602416922963e-12
842,986,2.0698602416922963e-12
843,1226,2.069860241692296e-12
844,1227,2.069860241692296e-12
845,1228,2.069860241692296e-12
846,78,1.7479868063565567e-12
847,145,1.4273728528747368e-12
848,146,1.4273728528747368e-12
849,147,1.4273728528747368e-12
850,148,1.4273728528747368e-12
851,216,1.4273728528747368e-12
852,217,1.4273728528747368e-12
853,218,1.4273728528747368e-12
854,219,1.4273728528747368e-12
855,242,1.4273728528747368e-12
856,243,1.4273728528747368e-12
857,314,1.4273728528747368e-12
858,315,1.4273728528747368e-12
859,316,1.4273728528747368e-12
860,317,1.4273728528747368e-12
861,320,1.4273728528747368e-12
862,321,1.4273728528747368e-12
863,322,1.4273728528747368e-12
864,323,1.4273728528747368e-12
865,375,1.4273728528747368e-12
866,376,1.4273728528747368e-12
867,377,1.4273728528747368e-12
868,378,1.4273728528747368e-12
869,379,1.4273728528747368e-12
870,380,1.4273728528747368e-12
871,381,1.4273728528747368e-12
872,382,1.4273728528747368e-12
873,426,1.4273728528747368e-12
874,427,1.4273728528747368e-12
875,428,1.4273728528747368e-12
876,429,1.4273728528747368e-12
877,592,1.4273728528747368e-12
878,593,1.4273728528747368e-12
879,594,1.4273728528747368e-12
880,595,1.4273728528747368e-12
881,621,1.4273728528747368e-12
882,622,1.4273728528747368e-12
883,623,1.4273728528747368e-12
884,624,1.4273728528747368e-12
885,644,1.4273728528747368e-12
886,645,1.4273728528747368e-12
887,646,1.4273728528747368e-12
888,647,1.4273728528747368e-12
889,663,1.4273728528747368e-12
890,664,1.4273728528747368e-12
891,665,1.4273728528747368e-12
