,nodes,TC_i,nodes,PI_i,nodes,CC_i
124,231,0.3333,118,0.6198,352,0.40000000000000013
125,242,0.3333,119,0.6198,323,0.4010263888888889
126,339,0.3333,349,0.6209,47,0.4045727785398567
127,340,0.3333,54,0.6214,48,0.4045727785398567
128,342,0.3333,55,0.6214,49,0.4045727785398567
129,343,0.3333,56,0.6214,50,0.4045727785398567
130,344,0.3333,58,0.6214,389,0.40502099277210885
131,359,0.3333,339,0.6215,274,0.40542406462585034
132,413,0.3333,340,0.6215,99,0.40675370214201395
133,426,0.3333,342,0.6215,101,0.40675370214201395
134,428,0.3333,343,0.6215,83,0.40767222222222227
135,429,0.3333,344,0.6215,92,0.40767222222222227
136,430,0.3333,328,0.6265,298,0.40808888888888895
137,466,0.3333,435,0.6265,341,0.4128117913832199
138,467,0.3333,59,0.6407,242,0.41282069830246915
139,468,0.3333,234,0.6407,304,0.41333333333333344
140,469,0.3333,212,0.6422,112,0.41464120370370366
141,112,0.3214,202,0.6438,115,0.41464120370370366
142,115,0.3214,242,0.6448,413,0.4156903502141597
143,326,0.3214,364,0.6486,466,0.4156903502141597
144,327,0.3214,366,0.6486,349,0.4180864197530863
145,31,0.3077,368,0.6486,160,0.4261342592592593
146,72,0.3077,373,0.6486,449,0.4310250141723356
147,73,0.3077,159,0.6494,121,0.43690187500948163
148,80,0.3077,160,0.6494,124,0.43690187500948163
149,87,0.3077,163,0.6494,125,0.43690187500948163
150,100,0.3077,95,0.6496,126,0.43690187500948163
151,107,0.3077,120,0.6507,127,0.43690187500948163
152,232,0.3077,122,0.6507,215,0.44563016528925614
153,272,0.3077,298,0.6518,109,0.44626157407407396
154,273,0.3077,413,0.6538,110,0.44626157407407396
155,349,0.3077,466,0.6538,54,0.44652366863905335
156,445,0.3077,467,0.6538,320,0.45032313397581253
157,116,0.2917,468,0.6538,325,0.45032313397581253
158,141,0.2917,469,0.6538,184,0.45343333333333347
159,143,0.2917,99,0.6597,17,0.4654421768707484
160,172,0.2917,101,0.6597,175,0.4731196238826108
161,202,0.2917,102,0.6597,301,0.47557823129251714
162,282,0.2917,162,0.6645,212,0.47583333333333333
163,357,0.2917,445,0.6655,273,0.4762216553287982
164,54,0.25,371,0.6657,36,0.47777777777777775
165,55,0.25,374,0.6657,294,0.47920000000000007
166,56,0.25,146,0.6701,434,0.48093333333333343
167,58,0.25,43,0.6733,329,0.48391384548611105
168,59,0.25,224,0.6748,287,0.48711605878864406
169,70,0.25,225,0.6748,309,0.4900173611111111
170,71,0.25,78,0.6793,428,0.4956205420410549
171,74,0.25,226,0.6795,429,0.4956205420410549
172,99,0.25,208,0.6818,430,0.4956205420410549
173,101,0.25,209,0.6818,63,0.49794940359063733
174,102,0.25,210,0.6818,236,0.49850501543209874
175,109,0.25,211,0.6818,237,0.49850501543209874
176,110,0.25,221,0.6819,238,0.49850501543209874
177,117,0.25,391,0.684,240,0.49850501543209874
178,118,0.25,270,0.6846,241,0.49850501543209874
179,119,0.25,271,0.6846,7,0.4990354938271605
180,138,0.25,178,0.691,279,0.5014192708333334
181,139,0.25,15,0.6911,283,0.5014192708333334
182,142,0.25,359,0.6952,419,0.5085034013605442
183,159,0.25,130,0.6959,178,0.5126240866717057
184,160,0.25,318,0.6999,62,0.5163532355090795
185,163,0.25,235,0.7007,234,0.5167100694444444
186,175,0.25,274,0.7015,357,0.5168750000000001
187,234,0.25,481,0.7023,444,0.5263494720804989
188,246,0.25,482,0.7023,481,0.5363812869822485
189,249,0.25,484,0.7023,482,0.5363812869822485
190,257,0.25,67,0.7039,484,0.5363812869822485
191,258,0.25,423,0.7055,145,0.5366020408163266
192,259,0.25,424,0.7055,147,0.5366020408163266
193,260,0.25,425,0.7055,148,0.5366020408163266
194,270,0.25,329,0.7073,149,0.5366020408163266
195,271,0.25,219,0.71,467,0.5408671201814059
196,279,0.25,282,0.7112,468,0.5408671201814059
197,283,0.25,83,0.7122,469,0.5408671201814059
198,287,0.25,92,0.7122,219,0.5412482853223592
199,292,0.25,44,0.7123,208,0.5421937777777779
200,320,0.25,323,0.7134,209,0.5421937777777779
201,325,0.25,141,0.7187,210,0.5421937777777779
202,329,0.25,143,0.7187,211,0.5421937777777779
203,347,0.25,279,0.7272,102,0.5446618316748186
204,348,0.25,283,0.7272,116,0.5447448979591836
205,350,0.25,145,0.7294,328,0.5595100308641976
206,351,0.25,147,0.7294,11,0.566891408415218
207,358,0.25,148,0.7294,12,0.566891408415218
208,360,0.25,149,0.7294,14,0.566891408415218
209,364,0.25,154,0.7317,16,0.566891408415218
210,366,0.25,155,0.7317,270,0.5688414115646259
211,368,0.25,199,0.7333,271,0.5688414115646259
212,373,0.25,444,0.7335,141,0.5700666666666667
213,378,0.25,138,0.7347,143,0.5700666666666667
214,379,0.25,139,0.7347,423,0.5719160735281767
215,380,0.25,142,0.7347,424,0.5719160735281767
216,381,0.25,246,0.7375,425,0.5719160735281767
217,389,0.25,70,0.7386,159,0.5742896412037037
218,423,0.25,71,0.7386,163,0.5742896412037037
219,424,0.25,74,0.7386,358,0.5821093749999999
220,425,0.25,174,0.7388,360,0.5821093749999999
221,444,0.25,80,0.7449,224,0.5854746913580247
222,481,0.25,175,0.7461,225,0.5854746913580247
223,482,0.25,426,0.7478,371,0.5886134430727022
224,484,0.25,428,0.7478,374,0.5886134430727022
225,17,0.2222,429,0.7478,86,0.5972839506172838
226,20,0.2222,430,0.7478,93,0.5972839506172838
227,29,0.2222,269,0.7528,486,0.5986319692408224
228,180,0.2222,228,0.753,487,0.5986319692408224
229,184,0.2222,272,0.7597,91,0.6037311385459534
230,294,0.2222,273,0.7597,94,0.6037311385459534
231,298,0.2222,73,0.77,55,0.6054937130177515
232,301,0.2222,179,0.7725,56,0.6054937130177515
233,391,0.2222,173,0.7728,58,0.6054937130177515
234,434,0.2222,357,0.7839,261,0.6094714506172839
235,64,0.1875,11,0.7842,262,0.6094714506172839
236,174,0.1875,12,0.7842,339,0.6156081632653062
237,63,0.1429,14,0.7842,340,0.6156081632653062
238,7,0.0833,16,0.7842,342,0.6156081632653062
239,18,0.0833,172,0.7928,343,0.6156081632653062
240,19,0.0833,121,0.7934,344,0.6156081632653062
241,46,0.0833,124,0.7934,117,0.6243048469387755
242,67,0.0833,125,0.7934,118,0.6243048469387755
243,86,0.0833,126,0.7934,119,0.6243048469387755
244,91,0.0833,127,0.7934,37,0.6289777777777779
245,93,0.0833,47,0.7958,38,0.6289777777777779
246,94,0.0833,48,0.7958,33,0.6289777777777781
247,96,0.0833,49,0.7958,34,0.6289777777777781
248,97,0.0833,50,0.7958,35,0.6289777777777781
249,98,0.0833,22,0.7983,70,0.6321747448979591
250,178,0.0833,23,0.7983,71,0.6321747448979591
251,185,0.0833,26,0.7983,74,0.6321747448979591
252,188,0.0833,27,0.7983,243,0.6343557098765432
253,189,0.0833,28,0.7983,244,0.6343557098765432
254,190,0.0833,358,0.7999,364,0.6360812499999999
255,214,0.0833,360,0.7999,366,0.6360812499999999
256,215,0.0833,150,0.8034,368,0.6360812499999999
257,224,0.0833,151,0.8034,373,0.6360812499999999
258,225,0.0833,152,0.8034,138,0.6502604166666666
259,243,0.0833,153,0.8034,142,0.6502604166666667
260,244,0.0833,156,0.8034,378,0.6780960648148149
261,253,0.0833,128,0.808,379,0.6780960648148149
262,261,0.0833,129,0.808,380,0.6780960648148149
263,262,0.0833,132,0.808,381,0.6780960648148149
264,274,0.0833,133,0.808,257,0.6974649234693877
265,275,0.0833,134,0.808,258,0.6974649234693877
266,276,0.0833,135,0.808,259,0.6974649234693877
267,277,0.0833,136,0.808,260,0.6974649234693877
268,293,0.0833,137,0.808,18,0.7037238599143361
269,295,0.0833,320,0.8089,19,0.7037238599143361
270,299,0.0833,325,0.8089,347,0.7122395833333331
271,300,0.0833,326,0.8225,348,0.7122395833333331
272,302,0.0833,180,0.8257,350,0.7122395833333331
273,303,0.0833,109,0.8261,351,0.7122395833333331
274,304,0.0833,110,0.8261,418,0.7362370874275634
275,305,0.0833,236,0.8276,420,0.7362370874275634
276,306,0.0833,237,0.8276,293,0.7402469135802467
277,309,0.0833,238,0.8276,295,0.7402469135802467
278,323,0.0833,240,0.8276,77,0.7469135802469136
279,352,0.0833,241,0.8276,96,0.7594123048668502
280,371,0.0833,107,0.8395,97,0.7594123048668502
281,374,0.0833,281,0.8445,98,0.7594123048668502
282,375,0.0833,389,0.848,375,0.7651851851851852
283,376,0.0833,197,0.8575,376,0.7651851851851852
284,377,0.0833,249,0.8653,377,0.7651851851851852
285,401,0.0833,41,0.8787,401,0.7722908093278464
286,402,0.0833,231,0.893,402,0.7722908093278464
287,403,0.0833,192,0.9022,403,0.7722908093278464
288,418,0.0833,39,0.9089,275,0.7928949357520786
289,419,0.0833,266,0.9598,276,0.7928949357520786
290,420,0.0833,268,0.9598,277,0.7928949357520786
291,433,0.0833,195,0.987,299,0.8311111111111109
292,435,0.0833,196,0.987,300,0.8311111111111109
293,437,0.0833,198,0.987,433,0.8311111111111109
294,438,0.0833,200,0.987,437,0.8311111111111109
295,449,0.0833,201,0.987,438,0.8311111111111109
296,486,0.0833,247,1.0478,188,0.831111111111111
297,487,0.0833,250,1.0478,189,0.831111111111111
298,62,0.0,255,1.0478,190,0.831111111111111
299,75,0.0,256,1.0478,302,0.831111111111111
300,77,0.0,267,1.0662,303,0.831111111111111
301,219,0.0,248,1.0695,305,0.831111111111111
302,328,0.0,251,1.0695,306,0.831111111111111
