,nodes,TC_i,nodes,PI_i,nodes,CC_i
52,2211,0.7083,516,0.4672,714,0.202451814
53,2796,0.7083,2490,0.468,4352,0.203447894
54,2811,0.7083,186,0.4698,3699,0.204387755
55,2889,0.7083,2631,0.4704,2495,0.204405202
56,2901,0.7083,3204,0.4704,4105,0.206048406
57,3162,0.7083,4361,0.4726,635,0.206520692
58,3271,0.7083,2211,0.4744,4303,0.208214748
59,4344,0.7083,2303,0.4768,2876,0.20861713
60,4369,0.7083,2673,0.4771,2211,0.208667535
61,238,0.7273,2674,0.4771,2555,0.212828361
62,1319,0.7273,3229,0.4771,1233,0.214114583
63,1550,0.7273,3266,0.4771,2712,0.214721095
64,2199,0.7273,2682,0.4775,622,0.215507196
65,2706,0.7273,104,0.48,4338,0.216130471
66,2797,0.7273,3162,0.48,568,0.216145833
67,2867,0.7273,2835,0.4821,2264,0.216145833
68,2908,0.7273,2525,0.4824,2839,0.216278784
69,3001,0.7273,2534,0.4904,1452,0.216358025
70,4351,0.7273,2732,0.4904,2490,0.216450932
71,265,0.75,2414,0.4919,3103,0.218210957
72,277,0.75,2392,0.4942,4341,0.21842332
73,287,0.75,2749,0.495,2810,0.218541667
74,712,0.75,2901,0.496,4363,0.218788366
75,2414,0.75,2739,0.4983,2698,0.218973042
76,2432,0.75,2946,0.4983,1319,0.22168234
77,2583,0.75,2998,0.5039,1435,0.222746914
78,2805,0.75,2775,0.5054,4336,0.223894789
79,3106,0.75,2908,0.5064,289,0.225405093
80,3263,0.75,2492,0.5089,2497,0.227716049
81,4336,0.75,2894,0.5102,2733,0.229552154
82,4345,0.75,2797,0.5103,4345,0.230641915
83,4362,0.75,669,0.5199,2889,0.230670573
84,4401,0.75,1158,0.5216,2505,0.232363316
85,622,0.7778,2143,0.5216,4375,0.233000714
86,1298,0.7778,2767,0.5216,2867,0.233471593
87,1457,0.7778,4324,0.5237,2916,0.233981761
88,2533,0.7778,4345,0.524,2620,0.234423225
89,2534,0.7778,2428,0.5276,4346,0.23446405
90,2647,0.7778,119,0.5284,1272,0.235532407
91,2650,0.7778,705,0.5292,2200,0.236507416
92,2652,0.7778,1257,0.5318,2492,0.237204379
93,2654,0.7778,2620,0.5335,4320,0.238180741
94,2730,0.7778,2491,0.5368,887,0.240493827
95,2732,0.7778,2830,0.5368,4321,0.24064566
96,2733,0.7778,2875,0.5368,4362,0.242075687
97,2763,0.7778,3138,0.5368,2811,0.24359375
98,2769,0.7778,3139,0.5368,2763,0.244716553
99,2776,0.7778,3185,0.5368,2198,0.245027435
100,2781,0.7778,3768,0.5406,3758,0.245246914
101,2798,0.7778,4173,0.5406,2949,0.245499846
102,2836,0.7778,2493,0.5413,2308,0.247299383
103,2874,0.7778,2537,0.5413,987,0.247407407
104,2972,0.7778,3087,0.5413,2755,0.249315972
105,3091,0.7778,2824,0.5423,4206,0.249385865
106,3768,0.7778,3101,0.5433,4387,0.251596137
107,4173,0.7778,2675,0.5448,914,0.252445988
108,4346,0.7778,2961,0.5453,2504,0.252772357
109,104,0.8125,3177,0.5453,2969,0.252934028
110,241,0.8125,3214,0.5453,4382,0.253633198
111,495,0.8125,2836,0.5462,2647,0.253970773
112,537,0.8125,2533,0.5474,2798,0.25733309
113,665,0.8125,2650,0.5474,2835,0.259864039
114,714,0.8125,3807,0.5483,2769,0.259920635
115,747,0.8125,4336,0.5484,705,0.261666667
116,914,0.8125,346,0.5485,2908,0.261950516
117,1127,0.8125,1032,0.5485,747,0.262779707
118,1257,0.8125,1067,0.5485,4325,0.262782716
119,2198,0.8125,1117,0.5485,2493,0.264564043
120,2200,0.8125,1272,0.5485,4354,0.265731032
121,2500,0.8125,2251,0.5485,4348,0.268103632
122,2504,0.8125,2377,0.5485,727,0.269911111
123,2505,0.8125,2509,0.5485,737,0.269911111
124,2651,0.8125,2899,0.5485,1235,0.27125
125,2668,0.8125,2936,0.5485,245,0.273341049
126,2675,0.8125,3758,0.5485,186,0.274444444
127,2683,0.8125,3888,0.5485,2770,0.2753
128,2802,0.8125,4148,0.5485,2872,0.276635802
129,2816,0.8125,4437,0.5485,2706,0.277505669
130,2844,0.8125,2893,0.5493,3177,0.278645833
131,2872,0.8125,568,0.5501,843,0.279104938
132,2929,0.8125,2927,0.5502,3134,0.280269444
133,3152,0.8125,3077,0.5502,119,0.280300454
134,4157,0.8125,2982,0.5547,2731,0.280300454
135,4303,0.8125,3196,0.5547,2425,0.280755556
136,4320,0.8125,2930,0.5562,2834,0.281222285
137,4364,0.8125,4329,0.5563,4344,0.284425872
138,4387,0.8125,2969,0.5579,2654,0.284580499
139,915,0.8571,2769,0.5615,4073,0.288811111
140,1925,0.8571,4355,0.5626,2732,0.291805556
141,2219,0.8571,2687,0.5639,3001,0.29585691
142,2368,0.8571,3263,0.5657,4351,0.29586034
143,2687,0.8571,2199,0.5704,2925,0.297444898
144,2756,0.8571,1233,0.5726,2781,0.304017385
145,3134,0.8571,634,0.5727,2694,0.307222222
146,3807,0.8571,653,0.5727,2959,0.307272222
147,4105,0.8571,3025,0.5749,2936,0.3077
148,4206,0.8571,3083,0.5749,4330,0.308058514
149,119,0.9167,3126,0.5749,1257,0.309606481
150,121,0.9167,4330,0.5784,2749,0.31
151,245,0.9167,2816,0.5797,2650,0.31060571
152,289,0.9167,2308,0.5801,2491,0.313832653
153,298,0.9167,2355,0.5801,2830,0.313832653
154,303,0.9167,2368,0.5809,2368,0.314375
155,346,0.9167,374,0.582,3162,0.316292517
156,350,0.9167,437,0.582,2795,0.317818964
157,532,0.9167,727,0.582,346,0.318055556
158,836,0.9167,737,0.582,4328,0.321346138
159,1032,0.9167,928,0.582,4356,0.321542142
160,1067,0.9167,987,0.582,2478,0.321627614
161,1117,0.9167,1013,0.582,299,0.322170139
162,1233,0.9167,1043,0.582,2428,0.322844444
163,1272,0.9167,1127,0.582,1550,0.322987528
164,1435,0.9167,2002,0.582,495,0.325447531
165,1452,0.9167,2030,0.582,2377,0.326111111
166,2251,0.9167,2685,0.582,634,0.327881413
167,2303,0.9167,2686,0.582,653,0.327881413
168,2377,0.9167,3651,0.582,2797,0.328651424
169,2425,0.9167,3699,0.582,4316,0.329291857
170,2428,0.9167,3780,0.582,2631,0.329338889
171,2457,0.9167,3857,0.582,4355,0.329525069
172,2478,0.9167,2781,0.5837,2534,0.33
173,2490,0.9167,3100,0.5891,2634,0.330259698
174,2491,0.9167,3107,0.5891,2775,0.330308616
175,2493,0.9167,1823,0.5892,3271,0.330508212
176,2496,0.9167,635,0.5901,669,0.332943594
177,2509,0.9167,712,0.5901,238,0.333092207
178,2525,0.9167,2495,0.5916,2002,0.333333333
179,2537,0.9167,2634,0.5964,2874,0.333498148
180,2543,0.9167,3198,0.5964,1298,0.334228395
181,2567,0.9167,2683,0.5969,2836,0.334336735
182,2571,0.9167,2844,0.5969,915,0.334711111
183,2620,0.9167,4187,0.5973,2823,0.334744898
184,2631,0.9167,2558,0.5975,2739,0.3352
185,2634,0.9167,350,0.5983,4397,0.335828133
186,2659,0.9167,1435,0.5986,2796,0.337559366
187,2673,0.9167,2659,0.5986,2392,0.338765432
188,2674,0.9167,2770,0.5986,2659,0.3401
189,2694,0.9167,1297,0.5988,1158,0.340529155
190,2718,0.9167,4351,0.5996,4379,0.342379443
191,2731,0.9167,2200,0.6009,2776,0.344784637
192,2739,0.9167,2929,0.6023,2687,0.34606207
193,2749,0.9167,3134,0.6032,4392,0.350733519
194,2770,0.9167,2876,0.6043,537,0.351411565
195,2823,0.9167,2497,0.6045,2750,0.351805556
196,2824,0.9167,361,0.6046,2901,0.355359505
197,2830,0.9167,745,0.6046,2652,0.355833006
198,2837,0.9167,4387,0.6104,2452,0.358072917
199,2875,0.9167,3103,0.611,849,0.358288966
200,2894,0.9167,2889,0.6119,261,0.360100309
201,2899,0.9167,241,0.6147,2303,0.361845327
202,2912,0.9167,747,0.6147,2251,0.362249089
203,2925,0.9167,2457,0.6154,2730,0.362379138
204,2927,0.9167,2823,0.6154,2683,0.36441568
205,2930,0.9167,1235,0.6161,2457,0.364444444
206,2936,0.9167,4338,0.6161,4365,0.371936983
207,2946,0.9167,4375,0.6168,2816,0.372347392
208,2949,0.9167,2219,0.6181,2894,0.374392361
209,2959,0.9167,2647,0.6186,2802,0.374538162
210,2961,0.9167,2543,0.619,2929,0.37492133
211,2982,0.9167,2668,0.621,2651,0.375659184
212,2998,0.9167,3877,0.6221,536,0.379583333
213,3003,0.9167,4328,0.6231,4359,0.385138889
214,3025,0.9167,265,0.6243,4406,0.38921875
215,3067,0.9167,277,0.6243,4422,0.38921875
216,3077,0.9167,287,0.6243,745,0.389322917
217,3083,0.9167,2796,0.6281,1032,0.390625
218,3085,0.9167,261,0.6284,4394,0.391319444
219,3086,0.9167,3152,0.6285,350,0.395833333
220,3087,0.9167,836,0.6287,4334,0.397148504
221,3100,0.9167,4303,0.63,73,0.397426304
222,3104,0.9167,73,0.6322,4364,0.397597848
223,3107,0.9167,116,0.6322,374,0.401458333
224,3108,0.9167,843,0.6322,2718,0.40177597
225,3110,0.9167,849,0.6322,3263,0.405005556
226,3111,0.9167,622,0.6325,3651,0.406390306
227,3126,0.9167,4339,0.6352,4144,0.407222222
228,3131,0.9167,299,0.6363,4401,0.407488889
229,3138,0.9167,2500,0.6373,241,0.409166667
230,3139,0.9167,2505,0.6373,2875,0.410408163
231,3177,0.9167,3106,0.6374,2674,0.413333333
232,3183,0.9167,4384,0.6378,928,0.414496528
233,3185,0.9167,2718,0.6383,1013,0.414496528
234,3194,0.9167,3086,0.6383,2912,0.420837674
235,3196,0.9167,2100,0.6389,104,0.421388889
236,3198,0.9167,3091,0.64,265,0.421475
237,3204,0.9167,2733,0.6409,277,0.421475
238,3214,0.9167,4369,0.6448,287,0.421475
239,3229,0.9167,2949,0.6487,2767,0.423125
240,3256,0.9167,3131,0.6487,2972,0.429338889
241,3266,0.9167,2425,0.6488,2537,0.440321181
242,3289,0.9167,2837,0.6488,262,0.454544444
243,3758,0.9167,3085,0.6488,2756,0.457756233
244,3888,0.9167,3067,0.6506,3106,0.460933333
245,4073,0.9167,2839,0.653,2946,0.46125
246,4148,0.9167,4320,0.6532,2736,0.465347222
247,4325,0.9167,238,0.6541,2760,0.465347222
248,4328,0.9167,1550,0.6557,3091,0.471111111
249,4359,0.9167,3104,0.659,2100,0.476319444
250,4394,0.9167,1452,0.6613,4339,0.476419753
251,4437,0.9167,2763,0.6617,2844,0.482668732
252,73,1,887,0.6619,2219,0.486527778
253,116,1,4359,0.6625,4187,0.493008314
254,186,1,714,0.6658,2496,0.499487311
255,361,1,1925,0.6673,3807,0.510858399
256,374,1,4348,0.6691,2899,0.51953125
257,437,1,2750,0.6692,2930,0.530385802
258,516,1,2755,0.6692,3183,0.531210632
259,520,1,914,0.6721,3152,0.533032407
260,536,1,1994,0.6722,3067,0.53350494
261,568,1,2198,0.6726,1925,0.538300737
262,634,1,2802,0.6752,3003,0.544367284
263,635,1,2651,0.6768,3131,0.546667227
264,653,1,2706,0.6773,116,0.547585034
265,669,1,2959,0.6781,3194,0.549583333
266,705,1,3194,0.6781,3086,0.55204142
267,727,1,2874,0.6784,437,0.554753086
268,737,1,4344,0.6814,2355,0.554753086
269,745,1,1501,0.6817,2668,0.557097715
270,843,1,2731,0.6822,520,0.563703704
271,849,1,262,0.6855,1043,0.563703704
272,887,1,2730,0.6874,3108,0.564751827
273,928,1,665,0.6885,4202,0.565
274,987,1,3003,0.6888,298,0.568287037
275,1013,1,2805,0.6919,1823,0.568798816
276,1043,1,2478,0.6925,1994,0.568798816
277,1158,1,2776,0.6966,2998,0.573580247
278,1235,1,4394,0.6968,3104,0.573580247
279,1297,1,4105,0.698,516,0.581018519
280,1501,1,4206,0.698,3101,0.59
281,1823,1,915,0.6999,2824,0.598432855
282,1994,1,2756,0.7082,1297,0.602361111
283,2002,1,4379,0.7086,3857,0.602361111
284,2030,1,2834,0.715,3204,0.607916667
285,2100,1,2925,0.7157,3198,0.610417488
286,2143,1,2555,0.7186,2143,0.611111111
287,2264,1,2496,0.723,3087,0.618441358
288,2308,1,4401,0.7238,3130,0.623580247
289,2355,1,289,0.7242,2030,0.628641975
290,2392,1,298,0.7242,3877,0.631181971
291,2452,1,4316,0.7284,3100,0.631311728
292,2497,1,2652,0.7311,3107,0.631311728
293,2558,1,4346,0.7353,2927,0.63218065
294,2685,1,1298,0.7482,3077,0.63218065
295,2686,1,1319,0.7723,361,0.660277778
296,2736,1,4363,0.7757,2738,0.668333333
297,2738,1,4352,0.7785,2974,0.668333333
298,2760,1,4321,0.7831,2961,0.671682099
299,2767,1,3271,0.7869,3214,0.671682099
300,2974,1,1457,0.7984,2982,0.71622085
301,3101,1,4325,0.8075,3196,0.71622085
302,3130,1,2867,0.811,2837,0.718765432
303,3651,1,4382,0.8179,3085,0.718765432
304,3699,1,4364,0.8222,2685,0.735339506
305,3780,1,4319,0.8264,2686,0.735339506
306,3857,1,2798,0.8444,3126,0.772290809
307,3877,1,2712,0.867,3025,0.772290809
308,4144,1,2698,0.8689,3083,0.772290809
309,4187,1,4362,0.8855,3110,0.792894936
310,4202,1,4392,0.8942,3111,0.792894936
311,4203,1,3001,0.9013,3138,0.792894936
312,4339,1,4354,0.9174,3139,0.792894936
313,4355,1,4334,0.9374,3185,0.792894936
314,4365,1,4333,0.9441,3256,0.792894936
315,4375,1,4397,0.976,2673,0.831111111
316,4406,1,4372,0.9895,3229,0.831111111
317,4422,1,4356,1.0089,3266,0.831111111
