,nodes,TR
461,322,7
462,336,7
463,376,7
464,390,7
465,407,7
466,410,7
467,424,7
468,443,7
469,496,7
470,544,7
471,554,7
472,585,7
473,594,7
474,599,7
475,607,7
476,613,7
477,660,7
478,667,7
479,668,7
480,674,7
481,746,7
482,771,7
483,818,7
484,907,7
485,1077,7
486,28,6
487,95,6
488,100,6
489,113,6
490,173,6
491,178,6
492,183,6
493,194,6
494,243,6
495,256,6
496,274,6
497,284,6
498,310,6
499,323,6
500,337,6
501,352,6
502,387,6
503,394,6
504,416,6
505,432,6
506,434,6
507,505,6
508,565,6
509,609,6
510,620,6
511,623,6
512,628,6
513,644,6
514,646,6
515,695,6
516,751,6
517,821,6
518,837,6
519,859,6
520,869,6
521,951,6
522,957,6
523,1033,6
524,1036,6
525,1040,6
526,16,5
527,47,5
528,102,5
529,132,5
530,208,5
531,223,5
532,264,5
533,305,5
534,345,5
535,359,5
536,396,5
537,527,5
538,556,5
539,560,5
540,657,5
541,658,5
542,710,5
543,722,5
544,730,5
545,735,5
546,760,5
547,766,5
548,820,5
549,839,5
550,923,5
551,934,5
552,935,5
553,967,5
554,991,5
555,1019,5
556,4,4
557,76,4
558,82,4
559,86,4
560,191,4
561,257,4
562,276,4
563,285,4
564,348,4
565,405,4
566,417,4
567,450,4
568,458,4
569,473,4
570,498,4
571,514,4
572,520,4
573,528,4
574,537,4
575,632,4
576,670,4
577,686,4
578,692,4
579,696,4
580,727,4
581,736,4
582,794,4
583,805,4
584,850,4
585,860,4
586,873,4
587,892,4
588,903,4
589,986,4
590,1002,4
591,1037,4
592,1044,4
593,1052,4
594,1053,4
595,25,3
596,91,3
597,117,3
598,135,3
599,137,3
600,138,3
601,162,3
602,177,3
603,185,3
604,263,3
605,279,3
606,294,3
607,295,3
608,309,3
609,325,3
610,329,3
611,358,3
612,378,3
613,397,3
614,441,3
615,457,3
616,461,3
617,472,3
618,489,3
619,516,3
620,521,3
621,550,3
622,558,3
623,571,3
624,592,3
625,596,3
626,603,3
627,610,3
628,645,3
629,648,3
630,651,3
631,688,3
632,699,3
633,709,3
634,711,3
635,719,3
636,749,3
637,780,3
638,782,3
639,809,3
640,810,3
641,826,3
642,836,3
643,854,3
644,858,3
645,874,3
646,940,3
647,953,3
648,962,3
649,984,3
650,985,3
651,1049,3
652,1065,3
653,1079,3
654,1083,3
655,1086,3
656,1111,3
657,94,2
658,98,2
659,122,2
660,168,2
661,169,2
662,233,2
663,251,2
664,259,2
665,261,2
666,265,2
667,297,2
668,347,2
669,349,2
670,369,2
671,447,2
672,452,2
673,497,2
674,510,2
675,532,2
676,539,2
677,552,2
678,555,2
679,564,2
680,573,2
681,580,2
682,605,2
683,624,2
684,629,2
685,631,2
686,637,2
687,639,2
688,675,2
689,700,2
690,701,2
691,704,2
692,706,2
693,718,2
694,740,2
695,741,2
696,752,2
697,753,2
698,816,2
699,870,2
700,877,2
701,879,2
702,898,2
703,913,2
704,921,2
705,922,2
706,927,2
707,929,2
708,931,2
709,937,2
710,941,2
711,943,2
712,949,2
713,959,2
714,961,2
715,964,2
716,981,2
717,989,2
718,1001,2
719,1006,2
720,1008,2
721,1012,2
722,1016,2
723,1018,2
724,31,1
725,97,1
726,99,1
727,108,1
728,153,1
729,155,1
730,158,1
731,172,1
732,176,1
733,224,1
734,231,1
735,246,1
736,271,1
737,272,1
738,282,1
739,287,1
740,291,1
741,300,1
742,342,1
743,344,1
744,374,1
745,401,1
746,402,1
747,404,1
748,420,1
749,422,1
750,435,1
751,439,1
752,464,1
753,481,1
754,524,1
755,536,1
756,538,1
757,540,1
758,545,1
759,575,1
760,578,1
761,595,1
762,604,1
763,608,1
764,626,1
765,630,1
766,635,1
767,650,1
768,654,1
769,663,1
770,673,1
771,679,1
772,682,1
773,691,1
774,707,1
775,714,1
776,717,1
777,720,1
778,734,1
779,738,1
780,754,1
781,763,1
782,765,1
783,773,1
784,776,1
785,777,1
786,786,1
787,789,1
788,800,1
789,801,1
790,811,1
791,812,1
792,815,1
793,817,1
794,828,1
795,835,1
796,838,1
797,852,1
798,853,1
799,878,1
800,880,1
801,881,1
802,899,1
803,902,1
804,914,1
805,926,1
806,928,1
807,936,1
808,942,1
809,950,1
810,960,1
811,966,1
812,968,1
813,977,1
814,978,1
815,979,1
816,983,1
817,987,1
818,988,1
819,992,1
820,998,1
821,1000,1
822,1022,1
823,1023,1
824,1024,1
825,1026,1
826,1031,1
827,1035,1
828,1047,1
829,1048,1
830,1050,1
831,1060,1
832,1061,1
833,1064,1
834,1067,1
835,1072,1
836,1078,1
837,1087,1
838,1088,1
839,1099,1
840,34,0
841,35,0
842,36,0
843,52,0
844,59,0
845,96,0
846,101,0
847,110,0
848,125,0
849,143,0
850,150,0
851,159,0
852,170,0
853,174,0
854,179,0
855,222,0
856,225,0
857,228,0
858,235,0
859,241,0
860,248,0
861,252,0
862,260,0
863,280,0
864,293,0
865,301,0
866,303,0
867,308,0
868,317,0
869,318,0
870,341,0
871,365,0
872,373,0
873,393,0
874,413,0
875,423,0
876,427,0
877,448,0
878,449,0
879,460,0
880,462,0
881,468,0
882,477,0
883,487,0
884,491,0
885,492,0
886,493,0
887,495,0
888,501,0
889,513,0
890,515,0
891,518,0
892,519,0
893,523,0
894,525,0
895,529,0
896,530,0
897,533,0
898,534,0
899,535,0
900,543,0
901,546,0
902,547,0
903,549,0
904,559,0
905,569,0
906,574,0
907,576,0
908,579,0
909,581,0
910,582,0
911,586,0
912,588,0
913,612,0
914,614,0
915,615,0
916,616,0
917,617,0
918,618,0
919,619,0
920,625,0
921,627,0
922,634,0
923,636,0
924,638,0
925,643,0
926,652,0
927,664,0
928,665,0
929,666,0
930,669,0
931,671,0
932,672,0
933,677,0
934,678,0
935,680,0
936,681,0
937,683,0
938,684,0
939,685,0
940,687,0
941,689,0
942,702,0
943,703,0
944,712,0
945,713,0
946,715,0
947,716,0
948,721,0
949,726,0
950,731,0
951,732,0
952,733,0
953,737,0
954,739,0
955,748,0
956,750,0
957,757,0
958,758,0
959,759,0
960,761,0
961,762,0
962,767,0
963,770,0
964,772,0
965,775,0
966,778,0
967,781,0
968,784,0
969,788,0
970,790,0
971,793,0
972,795,0
973,796,0
974,797,0
975,798,0
976,799,0
977,802,0
978,803,0
979,804,0
980,806,0
981,813,0
982,814,0
983,819,0
984,822,0
985,824,0
986,825,0
987,827,0
988,829,0
989,830,0
990,831,0
991,834,0
992,840,0
993,841,0
994,842,0
995,843,0
996,844,0
997,845,0
998,849,0
999,851,0
1000,855,0
1001,856,0
1002,857,0
1003,861,0
1004,862,0
1005,863,0
1006,864,0
1007,865,0
1008,866,0
1009,872,0
1010,875,0
1011,876,0
1012,882,0
1013,896,0
1014,897,0
1015,900,0
1016,904,0
1017,905,0
1018,908,0
1019,910,0
1020,912,0
1021,915,0
1022,916,0
1023,917,0
1024,918,0
1025,920,0
1026,924,0
1027,925,0
1028,930,0
1029,932,0
1030,933,0
1031,938,0
1032,946,0
1033,947,0
1034,948,0
1035,954,0
1036,955,0
1037,958,0
1038,963,0
1039,965,0
1040,969,0
1041,970,0
1042,971,0
1043,972,0
1044,973,0
1045,974,0
1046,976,0
1047,990,0
1048,993,0
1049,996,0
1050,997,0
1051,999,0
1052,1005,0
1053,1007,0
1054,1009,0
1055,1010,0
1056,1011,0
1057,1013,0
1058,1014,0
1059,1015,0
1060,1017,0
1061,1020,0
1062,1021,0
1063,1027,0
1064,1028,0
1065,1029,0
1066,1030,0
1067,1032,0
1068,1039,0
1069,1041,0
1070,1043,0
1071,1045,0
1072,1046,0
1073,1051,0
1074,1054,0
1075,1055,0
1076,1056,0
1077,1057,0
1078,1058,0
1079,1059,0
1080,1062,0
1081,1063,0
1082,1070,0
1083,1071,0
1084,1073,0
1085,1074,0
1086,1075,0
1087,1076,0
1088,1080,0
1089,1081,0
1090,1082,0
1091,1084,0
1092,1085,0
1093,1089,0
1094,1090,0
1095,1091,0
1096,1092,0
1097,1093,0
1098,1094,0
1099,1095,0
1100,1096,0
1101,1098,0
1102,1100,0
1103,1101,0
1104,1102,0
1105,1103,0
1106,1105,0
1107,1106,0
1108,1107,0
1109,1108,0
1110,1109,0
1111,1110,0
1112,1112,0
1113,1113,0
1114,1114,0
1115,1115,0
1116,1116,0
1117,1117,0
1118,1118,0
1119,1119,0
1120,1120,0
1121,1121,0
1122,1122,0
1123,1123,0
1124,1124,0
1125,1125,0
1126,1126,0
1127,1127,0
1128,1128,0
1129,1129,0
1130,1130,0
1131,1131,0
1132,1132,0
